Year,Month,Day,Hour,Minute,Temperature
2018,12,31,00,00,-4.24
2018,12,31,01,00,-4.41
2018,12,31,02,00,-4.59
2018,12,31,03,00,-4.74
2018,12,31,04,00,-4.80
2018,12,31,05,00,-4.82
2018,12,31,06,00,-4.45
2018,12,31,07,00,-4.17
2018,12,31,08,00,-4.11
2018,12,31,09,00,-3.69
2018,12,31,10,00,-3.05
2018,12,31,11,00,-2.52
2018,12,31,12,00,-2.15
2018,12,31,13,00,-1.87
2018,12,31,14,00,-2.26
2018,12,31,15,00,-2.33
2018,12,31,16,00,-2.78
2018,12,31,17,00,-3.06
2018,12,31,18,00,-3.65
2018,12,31,19,00,-3.83
2018,12,31,20,00,-3.94
2018,12,31,21,00,-4.08
2018,12,31,22,00,-4.23
2018,12,31,23,00,-4.34
2019,01,01,00,00,-4.39
2019,01,01,01,00,-4.28
2019,01,01,02,00,-4.08
2019,01,01,03,00,-4.00
2019,01,01,04,00,-3.81
2019,01,01,05,00,-3.45
2019,01,01,06,00,-3.08
2019,01,01,07,00,-2.61
2019,01,01,08,00,-1.87
2019,01,01,09,00,-1.05
2019,01,01,10,00,0.22
2019,01,01,11,00,-0.15
2019,01,01,12,00,0.15
2019,01,01,13,00,0.32
2019,01,01,14,00,0.33
2019,01,01,15,00,0.18
2019,01,01,16,00,-0.16
2019,01,01,17,00,-0.22
2019,01,01,18,00,-0.51
2019,01,01,19,00,-1.11
2019,01,01,20,00,-1.39
2019,01,01,21,00,-0.46
2019,01,01,22,00,-0.22
2019,01,01,23,00,-0.07
2019,01,02,00,00,0.06
2019,01,02,01,00,-0.11
2019,01,02,02,00,-0.26
2019,01,02,03,00,-0.46
2019,01,02,04,00,-0.49
2019,01,02,05,00,-0.46
2019,01,02,06,00,-0.35
2019,01,02,07,00,-0.28
2019,01,02,08,00,-0.27
2019,01,02,09,00,-0.05
2019,01,02,10,00,0.22
2019,01,02,11,00,0.35
2019,01,02,12,00,0.50
2019,01,02,13,00,0.64
2019,01,02,14,00,0.53
2019,01,02,15,00,0.04
2019,01,02,16,00,-0.18
2019,01,02,17,00,-0.22
2019,01,02,18,00,-0.22
2019,01,02,19,00,-0.20
2019,01,02,20,00,-0.31
2019,01,02,21,00,-0.49
2019,01,02,22,00,-0.92
2019,01,02,23,00,-1.45
2019,01,03,00,00,-1.50
2019,01,03,01,00,-2.05
2019,01,03,02,00,-1.94
2019,01,03,03,00,-1.52
2019,01,03,04,00,-0.61
2019,01,03,05,00,-1.21
2019,01,03,06,00,-2.01
2019,01,03,07,00,-2.73
2019,01,03,08,00,-3.12
2019,01,03,09,00,-3.28
2019,01,03,10,00,-2.52
2019,01,03,11,00,-1.15
2019,01,03,12,00,-0.77
2019,01,03,13,00,-0.95
2019,01,03,14,00,-0.92
2019,01,03,15,00,-1.03
2019,01,03,16,00,-1.32
2019,01,03,17,00,-1.63
2019,01,03,18,00,-2.80
2019,01,03,19,00,-2.97
2019,01,03,20,00,-3.80
2019,01,03,21,00,-2.61
2019,01,03,22,00,-2.76
2019,01,03,23,00,-3.08
2019,01,04,00,00,-3.20
2019,01,04,01,00,-3.04
2019,01,04,02,00,-3.14
2019,01,04,03,00,-3.47
2019,01,04,04,00,-4.57
2019,01,04,05,00,-4.69
2019,01,04,06,00,-4.85
2019,01,04,07,00,-5.42
2019,01,04,08,00,-4.93
2019,01,04,09,00,-4.23
2019,01,04,10,00,-3.22
2019,01,04,11,00,-2.95
